    Freq      Node         Xundef          Yundef          Zundef            Xdef            Ydef            Zdef           Xdisp           Ydisp           Zdisp
 7.64560     99.0      2.08990000      0.01267100     -0.07358000      2.08992151      0.01670491     -0.07344040      0.00002151      0.00403391      0.00013960
 7.64560    100.0      2.08990000      0.00813840     -0.05927900      2.08993324      0.01196671     -0.05920450      0.00003324      0.00382831      0.00007450
 7.64560    101.0      2.08990000      0.00459070     -0.04470300      2.08994226      0.00824687     -0.04467016      0.00004226      0.00365617      0.00003284
 7.64560    102.0      2.08990000      0.00204460     -0.02991900      2.08994863      0.00557080     -0.02990770      0.00004863      0.00352620      0.00001130
 7.64560    103.0      2.08990000      0.00051198     -0.01499500      2.08995243      0.00395726     -0.01498982      0.00005243      0.00344528      0.00000518
 7.64560    104.0      2.08990000      0.00000000     -0.00000185      2.08995369      0.00341780      0.00000280      0.00005369      0.00341780      0.00000466
 7.64560    105.0      2.08990000      0.00051102      0.01499100      2.08995243      0.00395630      0.01499614      0.00005243      0.00344528      0.00000514
 7.64560    106.0      2.08990000      0.00204270      0.02991500      2.08994863      0.00556890      0.02992611      0.00004863      0.00352620      0.00001111
 7.64560    107.0      2.08990000      0.00458780      0.04470000      2.08994226      0.00824397      0.04473262      0.00004226      0.00365617      0.00003262
 7.64560    108.0      2.08990000      0.00813460      0.05927600      2.08993324      0.01196291      0.05935026      0.00003324      0.00382831      0.00007426
 7.64560    109.0      2.08990000      0.01266700      0.07357700      2.08992151      0.01670092      0.07371634      0.00002151      0.00403392      0.00013934
 7.64560    110.0      2.08990000      0.01816300      0.08753600      2.08990698      0.02242629      0.08776565      0.00000698      0.00426329      0.00022965
 7.64560    111.0      2.08990000      0.02459700      0.10109000      2.08991045      0.02910364      0.10143521      0.00001045      0.00450664      0.00034521
 7.64560    112.0      2.08990000      0.03194100      0.11417000      2.08993085      0.03669598      0.11465464      0.00003085      0.00475498      0.00048464
 7.64560    113.0      2.08990000      0.04015800      0.12672000      2.08995426      0.04515875      0.12736559      0.00005426      0.00500075      0.00064559
 7.64560    114.0      2.08990000      0.04921200      0.13868000      2.08998071      0.05445030      0.13950544      0.00008071      0.00523830      0.00082544
 7.64560    115.0      2.08990000      0.05906100      0.15000000      2.09001018      0.06452506      0.15102196      0.00011018      0.00546406      0.00102196
 7.64560    116.0      2.07480000      0.05907000     -0.15000000      2.07491020      0.06448048     -0.14898512      0.00011020      0.00541048      0.00101488
 7.64560    117.0      2.07480000      0.04922100     -0.13868000      2.07488070      0.05440700     -0.13786055      0.00008070      0.00518600      0.00081945
 7.64560    118.0      2.07480000      0.04016600     -0.12672000      2.07485425      0.04511587     -0.12607935      0.00005425      0.00494987      0.00064065
 7.64560    119.0      2.07480000      0.03194800     -0.11417000      2.07483085      0.03665372     -0.11368926      0.00003085      0.00470572      0.00048074
 7.64560    120.0      2.07480000      0.02460400     -0.10109000      2.07481045      0.02906326     -0.10074766      0.00001045      0.00445926      0.00034234
 7.64560    121.0      2.07480000      0.01816800     -0.08753900      2.07480697      0.02238595     -0.08731127      0.00000697      0.00421795      0.00022773
 7.64560    122.0      2.07480000      0.01267100     -0.07358000      2.07482151      0.01666169     -0.07344177      0.00002151      0.00399069      0.00013823
 7.64560    123.0      2.07480000      0.00813840     -0.05927900      2.07483324      0.01192549     -0.05920524      0.00003324      0.00378709      0.00007376
 7.64560    124.0      2.07480000      0.00459070     -0.04470300      2.07484225      0.00820739     -0.04467049      0.00004225      0.00361669      0.00003251
 7.64560    125.0      2.07480000      0.00204460     -0.02991900      2.07484863      0.00553266     -0.02990783      0.00004863      0.00348806      0.00001117
 7.64560    126.0      2.07480000      0.00051198     -0.01499500      2.07485243      0.00391996     -0.01498991      0.00005243      0.00340798      0.00000509
 7.64560    127.0      2.07480000      0.00000000     -0.00000185      2.07485369      0.00338080      0.00000272      0.00005369      0.00338080      0.00000457
 7.64560    128.0      2.07480000      0.00051102      0.01499100      2.07485243      0.00391900      0.01499605      0.00005243      0.00340798      0.00000505
 7.64560    129.0      2.07480000      0.00204270      0.02991500      2.07484863      0.00553076      0.02992599      0.00004863      0.00348806      0.00001099
