    Node          RMS_X          RMS_Y          RMS_Z           Xdef           Ydef           Zdef
   111.0   0.0000077023   0.0020983034   0.0006619238   2.0899077023   0.0266953034   0.1017519238
   112.0   0.0000098601   0.0023242383   0.0007933727   2.0899098601   0.0342652383   0.1149633727
   113.0   0.0000152817   0.0025436688   0.0009412758   2.0899152817   0.0427016688   0.1276612758
   114.0   0.0000231730   0.0027543879   0.0011048599   2.0899231730   0.0519663879   0.1397848599
   115.0   0.0000331393   0.0029548181   0.0012833491   2.0899331393   0.0620158181   0.1512833491
   116.0   0.0000331531   0.0029270235   0.0012724294   2.0748331531   0.0619970235  -0.1487275706
   117.0   0.0000231707   0.0027278064   0.0010950185   2.0748231707   0.0519488064  -0.1375849815
   118.0   0.0000152786   0.0025184350   0.0009324786   2.0748152786   0.0426844350  -0.1257875214
   119.0   0.0000098599   0.0023005603   0.0007856259   2.0748098599   0.0342485603  -0.1133843741
   120.0   0.0000077020   0.0020764444   0.0006552392   2.0748077020   0.0266804444  -0.1004347608
   121.0   0.0000084377   0.0018491128   0.0005419362   2.0748084377   0.0200171128  -0.0869970638
   122.0   0.0000100827   0.0016227515   0.0004461311   2.0748100827   0.0142937515  -0.0731338689
   123.0   0.0000115424   0.0014034067   0.0003680265   2.0748115424   0.0095418067  -0.0589109735
   124.0   0.0000125735   0.0012002797   0.0003076218   2.0748125735   0.0057909797  -0.0443953782
   125.0   0.0000132062   0.0010277857   0.0002647574   2.0748132062   0.0030723857  -0.0296542426
   126.0   0.0000135331   0.0009073016   0.0002391889   2.0748135331   0.0014192816  -0.0147558111
   127.0   0.0000136323   0.0008631726   0.0002306917   2.0748136323   0.0008631727   0.0002288400
   128.0   0.0000135331   0.0009073058   0.0002391729   2.0748135331   0.0014183258   0.0152301729
   129.0   0.0000132062   0.0010277937   0.0002647249   2.0748132062   0.0030704937   0.0301797249
   130.0   0.0000125735   0.0012002923   0.0003075724   2.0748125735   0.0057880923   0.0450075724
   131.0   0.0000115424   0.0014034246   0.0003679596   2.0748115424   0.0095380246   0.0596439596
   132.0   0.0000100827   0.0016227746   0.0004460465   2.0748100827   0.0142897746   0.0740230465
   133.0   0.0000084377   0.0018491432   0.0005418342   2.0748084377   0.0200121432   0.0880778342
   134.0   0.0000077020   0.0020764814   0.0006551208   2.0748077020   0.0266734814   0.1017451208
   135.0   0.0000098599   0.0023006053   0.0007854909   2.0748098599   0.0342416053   0.1149554909
   136.0   0.0000152786   0.0025184908   0.0009323283   2.0748152786   0.0426764908   0.1276523283
   137.0   0.0000231707   0.0027278727   0.0010948538   2.0748231707   0.0519398727   0.1397748538
   138.0   0.0000331531   0.0029270990   0.0012722513   2.0748331531   0.0619880990   0.1512722513
   139.0   0.0000331671   0.0028989604   0.0012610471   2.0598331671   0.0619689604  -0.1487389529
   140.0   0.0000231685   0.0027010805   0.0010848500   2.0598231685   0.0519220805  -0.1375951500
   141.0   0.0000152752   0.0024931622   0.0009234625   2.0598152752   0.0426591622  -0.1257965375
   142.0   0.0000098595   0.0022769166   0.0007777334   2.0598098595   0.0342249166  -0.1133922666
   143.0   0.0000077020   0.0020546433   0.0006484466   2.0598077020   0.0266586433  -0.1004415534
   144.0   0.0000084360   0.0018293726   0.0005361969   2.0598084360   0.0199973726  -0.0870028031
   145.0   0.0000100805   0.0016052199   0.0004413540   2.0598100805   0.0142762199  -0.0731386460
   146.0   0.0000115405   0.0013881182   0.0003640724   2.0598115405   0.0095265182  -0.0589149276
   147.0   0.0000125719   0.0011871121   0.0003043196   2.0598125719   0.0057778121  -0.0443986804
   148.0   0.0000132048   0.0010164256   0.0002619227   2.0598132048   0.0030610256  -0.0296570773
   149.0   0.0000135318   0.0008971983   0.0002366344   2.0598135318   0.0014091783  -0.0147583656
   150.0   0.0000136310   0.0008535258   0.0002282305   2.0598136310   0.0008535259   0.0002263787
   151.0   0.0000135318   0.0008972026   0.0002366187   2.0598135318   0.0014082226   0.0152276187
   152.0   0.0000132048   0.0010164343   0.0002618908   2.0598132048   0.0030591343   0.0301768908
   153.0   0.0000125719   0.0011871247   0.0003042708   2.0598125719   0.0057749247   0.0450042708
   154.0   0.0000115405   0.0013881355   0.0003640062   2.0598115405   0.0095227355   0.0596400062
   155.0   0.0000100805   0.0016052423   0.0004412705   2.0598100805   0.0142722423   0.0740182705
   156.0   0.0000084360   0.0018294012   0.0005360963   2.0598084360   0.0199924012   0.0880720963
   157.0   0.0000077020   0.0020546808   0.0006483293   2.0598077020   0.0266516808   0.1017383293
   158.0   0.0000098595   0.0022769626   0.0007776000   2.0598098595   0.0342179626   0.1149476000
   159.0   0.0000152752   0.0024932170   0.0009233142   2.0598152752   0.0426512170   0.1276433142
   160.0   0.0000231685   0.0027011459   0.0010846872   2.0598231685   0.0519131459   0.1397646872
   161.0   0.0000331671   0.0028990382   0.0012608707   2.0598331671   0.0619600382   0.1512608707
   162.0   0.0000331809   0.0028705917   0.0012494165   2.0448331809   0.0619405917  -0.1487505835
   163.0   0.0000231664   0.0026741608   0.0010745339   2.0448231664   0.0518951608  -0.1376054661
   164.0   0.0000152713   0.0024677974   0.0009143794   2.0448152713   0.0426337974  -0.1258056206
   165.0   0.0000098589   0.0022532568   0.0007698251   2.0448098589   0.0342012568  -0.1134001749
   166.0   0.0000077023   0.0020328665   0.0006416619   2.0448077023   0.0266368665  -0.1004483381
   167.0   0.0000084343   0.0018096607   0.0005304691   2.0448084343   0.0199776607  -0.0870085309
   168.0   0.0000100779   0.0015877085   0.0004365835   2.0448100779   0.0142587085  -0.0731434165
   169.0   0.0000115381   0.0013728405   0.0003601203   2.0448115381   0.0095112405  -0.0589188797
   170.0   0.0000125699   0.0011739512   0.0003010180   2.0448125699   0.0057646512  -0.0444019820
   171.0   0.0000132032   0.0010050746   0.0002590885   2.0448132032   0.0030496746  -0.0296599115
   172.0   0.0000135303   0.0008871063   0.0002340803   2.0448135303   0.0013990863  -0.0147609197
   173.0   0.0000136295   0.0008438932   0.0002257697   2.0448136295   0.0008438933   0.0002239177
   174.0   0.0000135303   0.0008871104   0.0002340647   2.0448135303   0.0013981304   0.0152250647
   175.0   0.0000132032   0.0010050827   0.0002590569   2.0448132032   0.0030477827   0.0301740569
   176.0   0.0000125699   0.0011739634   0.0003009698   2.0448125699   0.0057617634   0.0450009698
   177.0   0.0000115381   0.0013728574   0.0003600549   2.0448115381   0.0095074574   0.0596360549
   178.0   0.0000100779   0.0015877316   0.0004365010   2.0448100779   0.0142547316   0.0740135010
   179.0   0.0000084343   0.0018096894   0.0005303696   2.0448084343   0.0199726894   0.0880663696
   180.0   0.0000077023   0.0020329032   0.0006415457   2.0448077023   0.0266299032   0.1017315457
   181.0   0.0000098589   0.0022533005   0.0007696932   2.0448098589   0.0341943005   0.1149396932
   182.0   0.0000152713   0.0024678525   0.0009142324   2.0448152713   0.0426258525   0.1276342324
   183.0   0.0000231664   0.0026742242   0.0010743725   2.0448231664   0.0518862242   0.1397543725
   184.0   0.0000331809   0.0028706686   0.0012492416   2.0448331809   0.0619316686   0.1512492416
   185.0   0.0000331941   0.0028419524   0.0012375674   2.0297331941   0.0619119524  -0.1487624326
   186.0   0.0000231641   0.0026470599   0.0010640834   2.0297231641   0.0518680599  -0.1376159166
   187.0   0.0000152671   0.0024423408   0.0009052308   2.0297152671   0.0426083408  -0.1258147692
   188.0   0.0000098580   0.0022295705   0.0007618984   2.0297098580   0.0341775705  -0.1134081016
   189.0   0.0000077028   0.0020111071   0.0006348816   2.0297077028   0.0266151071  -0.1004551184
   190.0   0.0000084327   0.0017899783   0.0005247516   2.0297084327   0.0199579783  -0.0870142484
   191.0   0.0000100751   0.0015702205   0.0004318202   2.0297100751   0.0142412205  -0.0731481798
   192.0   0.0000115352   0.0013575731   0.0003561717   2.0297115352   0.0094959731  -0.0589228283
   193.0   0.0000125675   0.0011607948   0.0002977176   2.0297125675   0.0057514948  -0.0444052824
   194.0   0.0000132011   0.0009937263   0.0002562547   2.0297132011   0.0030383263  -0.0296627453
   195.0   0.0000135284   0.0008770196   0.0002315266   2.0297135284   0.0013889996  -0.0147634734
   196.0   0.0000136276   0.0008342661   0.0002233094   2.0297136276   0.0008342662   0.0002214572
   197.0   0.0000135284   0.0008770236   0.0002315112   2.0297135284   0.0013880436   0.0152225112
   198.0   0.0000132011   0.0009937340   0.0002562234   2.0297132011   0.0030364340   0.0301712234
   199.0   0.0000125675   0.0011608067   0.0002976698   2.0297125675   0.0057486067   0.0449976698
   200.0   0.0000115352   0.0013575902   0.0003561069   2.0297115352   0.0094921902   0.0596321069
   201.0   0.0000100751   0.0015702430   0.0004317387   2.0297100751   0.0142372430   0.0740087387
   202.0   0.0000084328   0.0017900076   0.0005246530   2.0297084328   0.0199530076   0.0880606530
   203.0   0.0000077028   0.0020111427   0.0006347670   2.0297077028   0.0266081427   0.1017247670
   204.0   0.0000098580   0.0022296156   0.0007617673   2.0297098580   0.0341706156   0.1149317673
   205.0   0.0000152671   0.0024423958   0.0009050855   2.0297152671   0.0426003958   0.1276250855
   206.0   0.0000231641   0.0026471257   0.0010639239   2.0297231641   0.0518591257   0.1397439239
   207.0   0.0000331940   0.0028420275   0.0012373944   2.0297331940   0.0619030275   0.1512373944
   208.0   0.0000332064   0.0028130689   0.0012255255   2.0147332064   0.0618830689  -0.1487744745
   209.0   0.0000231615   0.0026197964   0.0010535112   2.0147231615   0.0518407964  -0.1376264888
   210.0   0.0000152624   0.0024167941   0.0008960194   2.0147152624   0.0425827941  -0.1258239806
   211.0   0.0000098568   0.0022058581   0.0007539504   2.0147098568   0.0341538581  -0.1134160496
   212.0   0.0000077035   0.0019893560   0.0006281036   2.0147077035   0.0265933560  -0.1004618964
   213.0   0.0000084314   0.0017703214   0.0005190434   2.0147084314   0.0199383214  -0.0870199566
   214.0   0.0000100720   0.0015527540   0.0004270650   2.0147100720   0.0142237540  -0.0731529350
   215.0   0.0000115318   0.0013423175   0.0003522272   2.0147115318   0.0094807175  -0.0589267728
   216.0   0.0000125644   0.0011476403   0.0002944186   2.0147125644   0.0057383403  -0.0444085814
   217.0   0.0000131984   0.0009823756   0.0002534214   2.0147131984   0.0030269756  -0.0296655786
   218.0   0.0000135260   0.0008669306   0.0002289735   2.0147135260   0.0013789106  -0.0147660265
   219.0   0.0000136253   0.0008246377   0.0002208495   2.0147136253   0.0008246378   0.0002189971
   220.0   0.0000135260   0.0008669346   0.0002289583   2.0147135260   0.0013779546   0.0152199583
